company,flight_number,boarding,duration,landing,cost,offer,boarding_airport,landing_airport,stop,from_city,to_city
IndiGo,6E 621768,06:40,5h 45m,12:25,₹8500,Extra ₹310 off,PNQ,DEL,1 Stop,Pune,Delhi
IndiGo,6E 621769,14:30,5h 30m,20:00,₹8200,Extra ₹210 off,DEL,PNQ,1 Stop,Delhi,Pune
IndiGo,6E 654789,18:25,5h 15m,23:40,₹7500,Extra ₹210 off,BOM,BLR,1 Stop,Mumbai,Bengaluru
IndiGo,6E 654790,09:15,5h 20m,14:35,₹7800,Extra ₹310 off,BLR,BOM,1 Stop,Bengaluru,Mumbai
IndiGo,6E 748392,11:20,3h 45m,15:05,₹6200,Extra ₹410 off,GOI,JAI,Non-Stop,Goa,Jaipur
IndiGo,6E 748393,16:30,3h 50m,20:20,₹6400,Extra ₹310 off,JAI,GOI,Non-Stop,Jaipur,Goa
IndiGo,6E 75764,13:50,1h 30m,15:20,₹7800,Extra ₹410 off,HYD,MAA,1 Stop,Hyderabad,Chennai
IndiGo,6E 75765,17:45,1h 35m,19:20,₹8100,Extra ₹310 off,MAA,HYD,1 Stop,Chennai,Hyderabad
IndiGo,6E 815339,09:45,6h 45m,16:25,₹10200,Extra ₹310 off,GOI,JAI,Non-Stop,Goa,Jaipur
Air India,AI 256034,08:00,9h 00m,17:00,₹16500,Extra ₹410 off,PNQ,DEL,1 Stop,Pune,Delhi
Air India,AI 256035,19:30,8h 45m,04:15,₹16800,Extra ₹310 off,DEL,PNQ,1 Stop,Delhi,Pune
Air India,AI 543210,07:15,8h 30m,15:45,₹14200,Extra ₹310 off,PNQ,DEL,1 Stop,Pune,Delhi
Air India,AI 543211,16:00,8h 15m,00:15,₹14500,Extra ₹410 off,DEL,PNQ,1 Stop,Delhi,Pune
Air India,AI 678934,19:35,7h 25m,03:00,₹15200,Extra ₹310 off,AMD,PNQ,Non-Stop,Ahmedabad,Pune
Air India,AI 678935,05:45,7h 30m,13:15,₹15500,Extra ₹410 off,PNQ,AMD,Non-Stop,Pune,Ahmedabad
Air India,AI 721956,20:15,4h 45m,01:00,₹8500,Extra ₹410 off,BOM,BLR,1 Stop,Mumbai,Bengaluru
Air India,AI 721957,03:30,4h 50m,08:20,₹8800,Extra ₹310 off,BLR,BOM,1 Stop,Bengaluru,Mumbai
GoAir,G8 193754,00:45,3h 15m,04:00,₹11200,Extra ₹510 off,AMD,PNQ,1 Stop,Ahmedabad,Pune
GoAir,G8 193755,06:15,3h 20m,09:35,₹11500,Extra ₹410 off,PNQ,AMD,1 Stop,Pune,Ahmedabad
