id,company,flight_number,boarding,duration,landing,cost,offer,boarding_airport,landing_airport,stop,from_city,to_city
1,Vistara,VI 1000,06:30,2h 0m,08:30,₹4726,Extra ₹210 off,DEL,BOM,Non-Stop,Delhi,Mumbai
2,Vistara,VI 1001,11:45,2h 24m,14:09,₹9374,Extra ₹410 off,DEL,BOM,Non-Stop,Delhi,Mumbai
3,AirAsia,AI 1002,19:30,2h 28m,21:58,₹4542,Extra ₹410 off,DEL,BOM,Non-Stop,Delhi,Mumbai
4,Vistara,VI 1003,11:45,2h 18m,14:03,₹12914,Extra ₹410 off,DEL,BLR,Non-Stop,Delhi,Bengaluru
5,Vistara,VI 1004,19:30,1h 19m,20:49,₹9897,Extra ₹410 off,DEL,BLR,1 Stop,Delhi,Bengaluru
6,Vistara,VI 1005,21:30,1h 2m,22:32,₹13507,Extra ₹310 off,DEL,BLR,Non-Stop,Delhi,Bengaluru
7,Vistara,VI 1006,06:30,2h 22m,08:52,₹11060,Extra ₹410 off,DEL,MAA,Non-Stop,Delhi,Chennai
8,GoAir,GO 1007,08:00,1h 19m,09:19,₹10907,Extra ₹310 off,DEL,MAA,Non-Stop,Delhi,Chennai
9,AirAsia,AI 1008,14:30,2h 23m,16:53,₹11964,Extra ₹210 off,DEL,MAA,1 Stop,Delhi,Chennai
10,SpiceJet,SP 1009,19:30,1h 24m,20:54,₹4602,Extra ₹110 off,DEL,CCU,Non-Stop,Delhi,Kolkata
11,Vistara,VI 1010,09:30,1h 40m,11:10,₹11424,Extra ₹310 off,DEL,CCU,Non-Stop,Delhi,Kolkata
12,AirAsia,AI 1011,16:00,2h 21m,18:21,₹10737,Extra ₹410 off,DEL,CCU,Non-Stop,Delhi,Kolkata
13,SpiceJet,SP 1012,16:00,1h 39m,17:39,₹4356,Extra ₹310 off,DEL,HYD,1 Stop,Delhi,Hyderabad
14,GoAir,GO 1013,09:30,1h 35m,11:05,₹8849,Extra ₹410 off,DEL,HYD,Non-Stop,Delhi,Hyderabad
